session_id	item_id_seq_train	item_id_target	interaction_time_delta_train
0	3 2 3	3	10 21 19
1	4	3	0
2	5	6	0
3	5	7	0
4	5	8	0
5	7	5	0
6	3 4 3	10	0 0 1
7	4 3	3	0 0
8	3 3 3 11 5	12	2 0 4 2 0
9	3	4	0
10	3 4	3	0 54
11	3 13 5	14	28 241 0
12	4 3	3	0 7
13	3 15 3 2 4	3	3 127 16 20 0
14	5 5 5	3	0 1 19
15	4 5 5	3	0 1 0
16	3 3 3 2	15	82 2 2 0
17	4	3	0
18	3 16 3 3	4	5 83 21 0
19	17	18	33
20	4	3	16
21	3	3	6
22	3 17 20	3	0 7 24
23	9	3	27
24	3 21 22 23 23 24 3	25	8 0 3 3 1 4 2
25	26 27	25	9 15
26	3 4 3	3	1 0 0
27	3 5 28 3	3	1 0 7 54
28	3	2	2
29	4 3	2	0 13
30	3	4	0
31	3 2 4 3	3	1 106 0 0
32	3 3 3 3 31	3	1 12 4 30 6
33	3 3	2	0 13
34	5	32	0
35	3 3	2	20 1
36	4	3	0
37	3 4 3	2	12 0 3
38	3 3	3	32 0
39	3 3	3	5 4
40	3 3	3	4 52
41	3 3	3	45 4
42	3 3	3	1 13
43	5 39 4 3 3 3 3 3 3 40 3 4 3 3	41	0 74 0 0 4 17 45 33 8 18 7 0 32 3
44	3 3 4 3 3 3	3	2 0 9 0 13 18
45	5 43 3	41	0 0 0
46	42 4 3 3	3	90 0 0 38
47	3 3 3	3	16 37 77
48	3 44 5 45	46	37 8 0 0
49	3	3	35
50	3 47	3	1 1
51	3 5 5 5 4 3 3 3	47	0 0 0 1 0 249 20 0
52	47 3	47	1 8
53	3 47	3	7 0
54	3 3 3 3 3 3	3	72 4 0 5 11 1
55	3 47 9	3	0 31 68
56	3 50	3	8 22
57	5 51 3	3	0 12 29
58	3 30 47 47 30 30 3 3 3	3	1 0 0 62 0 7 0 21 19
59	3 3	3	122 6
60	3 3 3 42 47	42	21 0 7 82 15
61	55 2	47	98 22
