session_id	item_id_seq_train	item_id_train
0	61 61 79	61
1	6	61
2	61 6	61
3	6	61
4	61 61 61 17	16
5	61	61
6	61	6
7	61 40	16
8	6 61	61
9	61 61 40 61 79	6
10	16 16	16
11	6 16	16
12	61 61 61	79
13	6	61
14	61 61 40 61	61
15	61 40	40
16	61 84 68 78 99 99 40 15 61 86	84
17	59 40 84	86
18	61 61 6	61
19	61 16 40	61
20	61 16 16	16
21	61	6
22	6	61
23	61	61
24	61 79 6 61	6
25	61 61 61 61 61 90 61 61 51	61
26	61 61	79
27	6	61
28	61	61
29	6	61
30	61 6	61
31	61 16 16 16 40 40 90 79 15 90 15 16 16 40 16 40 40 40 16 16 6 61 61 79 6	61
32	16 40 6 61 61 61 61 61 61 61 61 40 61 61 6 61	61
33	61 61 6 61 61	61
34	16 40	61
35	73 6 61 61	61
36	61 15 40 16	40
37	61	59
38	61 61 16 16 16 6 61 61 61 61	61
39	73 73 16 40 61	6
40	61 61 61 6 61	61
41	59	61
42	61 61	59
43	69 69	61
44	61 61 16 40 61 40	61
45	61 61 61	61
46	73 6 61	61
47	61 59	69
48	61 61 40	61
49	61 59 73 73 61 30 30 30 61 61	73
50	16 40	61
51	61	61
52	61 30 59 59 30 30 61 61 61	61
53	61 61 61 73 59	73
54	16 40 51	40
55	40	79
56	61 61 61 61 59 73	73
57	61 6 61 61 59 61 59 73 6 61 61 61	6
58	61	61
59	61 59 61	61
60	61 61 41 69 6 61	61
61	6 61 61 61 61 61 61	61
62	61	16
63	61 61 61 6 61	61
64	16 40 59 6 61 15 84	15
65	61 61 59	73
66	6 61 59	30
67	73	73
68	61	59
69	61 59 6	61
70	16	40
71	40 61	6
72	61	59
73	59	61
74	61 61 16 40 16 16 16 16 16	16
75	61 61 40 90 15 61 90 59 16	15
76	61 61 59 73 16 40 61 61	59
77	61	59
78	61 61 6	61
79	61 61 6 61	61
80	79 61	61
81	61 6	61
82	73 73 16	40
83	73	40
84	6 61 61 40 59 61	6
85	61 61	59
86	61 61 59 6 61 61 79 6	61
87	6 61	61
88	6 61	61
89	61 61	61
90	61 61 61	61
91	73 73	61
92	61 6	61
93	73	61
94	61 59 61 6 61 61 61 61 61	6
95	61 6 61 61 59 6 61 61 79 73 73 61 61	6
96	73 73 61 61 61 61 61	61
97	61 61 6 59 61 6	61
98	59 61	6
99	61 61 59	40
100	61 61 6 6 61	61
101	40 40 61 61 61 61 61 61 61 16 40 16 40 15 59	61
102	61 6 61	61
103	61 59 59 61 61 6	61
104	61 61 6 61 61 61 61 61 61 6 61 61 61 6 6 6 61 61 90 40 40 59	61
105	6 61 61 40 40 61 61	63
106	61 61 61 61 61 51 51 40 40	51
107	61	59
108	73 40 40	61
109	61 40 40 59	40
110	61 61 59 61	40
111	61 61 61 59 61	61
112	61 61 16 16 16 16 90 6 61 61 15 6 61 6 61 6 6 61 61	69
113	16 16 16 16	6
114	40 40 90 40	40
115	61 61 61 90 16 16 40 40 15 61 61 61	40
116	59 61 61	61
117	61 61 61 61 61 59 6 61 61 61 61 6 61 61 61 61 61 61 61 61 61 61 61	61
118	61 61 6 6 61 61	61
119	61 6 61 61 59 61 6 61	59
120	61 61 61	61
121	6 61 61 51 51 51 51 69 69	40
122	6 6 61 61	61
123	61 61 40 40 61 61 61 61	61
124	61	61
125	73 73 61 61 61 61	41
126	6 61 61	61
127	61 59 61 61 61 6	61
128	61 61 16 16 40 40 61 61 61 61 61 61	84
129	61 61 30	30
130	61	6
131	61 61 61 61 6	61
132	59 59 6 6 61	61
133	61 61 61 61 61 61 61 59 59 61 61 61 6	61
134	61 6	61
135	6	61
136	73 73 61	61
137	51 51 51 51 59 6 6 61 61 61 61	79
138	6 61 61	59
139	40 40 6	61
140	61 61 73 73 16 16 40 40 16 40 16 40 6 61	61
141	73 73 61 6	61
142	73 73 61	61
143	61 61 6	61
144	73 73	61
145	61 61 40 40 6 61 61	40
146	61 61 59 61	61
147	73 73 61 61 61 61 6 61 61 61 61 61 61 61 61 61 61 61	61
148	6	61
149	40	59
150	6 61	61
151	6	61
152	40	61
153	61 61	61
154	6 61 61	61
155	61 61 59 61	61
156	6	61
157	6	61
158	15	33
159	6	61
160	73 15 40 6 61 61 61 61 61 61 61 61 15 15	90
161	73 73 40 73 16 40 37	15
162	40 90 15 16 16 40	16
163	73 61 6	61
164	61	69
165	6 61 61 61	61
166	61	6
167	6	61
168	61 6	61
169	40 16 40 6 61 61 6 61	61
170	6 61	61
171	6	61
172	16 16 16 40 16 40	40
173	61	61
174	61 16 40 90	87
175	61 61 40 14 90 15 90 15 61 69 61 61 61	61
176	61 61 61 61 90 15 90 15 90	40
177	40 61 61 61 90 15 61 40 61 61 16	40
178	14 90 15 40 40 40	40
179	40 40 61 61 61 61 61	40
180	61 40	40
181	16 40 40 61 51 51 51 51 51 61 51 51 16 40 51 95	61
182	61 61 90 15	61
183	90 40 15 90 61 15 90 51 15 90 15 90 15 90 71 71 61 61 90 15 90 15 15 15 40 40 15 40 90 15 61 61 90	61
184	61 90	87
185	90 15 90 16	40
186	90 15 90 15	90
187	16 40 90 61 61 15 15 61 90 15 90 90 15 90 15 90 87	90
188	91 69 23	61
189	61	90
190	61 61	90
191	61 61	16
192	61 16 40 40 40 40 51 95 61 61 40	61
193	90 87 15	90
194	90 61 61 16 40 15 90 15 15 90 15 37 15 61 84 15 90 87 15 90 16 40 16 40	40
195	90 90	15
196	40 40 40 90 69 15 70	61
197	61 90 40 15 90 15 15 90 15 61 90 40	40
198	15 61 61	90
199	61 90 15 61	90
200	90	87
201	90 15	90
202	90 16 40 87 69 23 15 90 15 90 15 90 15 15 90 40 16 40	61
203	61	90
204	61 61	90
205	61 61 61	90
206	61 61	90
207	61	90
208	61 90 16	40
209	61 90 40 15 61	90
210	61 90 40 90 15 13 90 15 90 15 90 15 61 61 61 61 61 90 15	90
211	61 61	90
212	90 15 61 61	90
213	90 15	90
214	90 16 40 15 15 15 90 15 15 90 15 40 16 40 40 90 15 90 40 15 61 90 95	15
215	90 40 87 90 15	90
216	90 15 61 61 90 61	15
217	61 61 90 61 61 15 61 61	90
218	90 15 61 61 90 15 61	90
219	87	90
220	90 61 61 90	90
221	90 15 61 61	90
222	90 15 61	90
223	90 16 40	15
224	61 40 90 15 90 90 40 15	90
225	90	90
226	40 90 15 61 16	40
227	61 90	40
228	90 40 15 15 15 84 15 61 90 15 15 90 15 90 87 15	90
229	15 90 61	61
230	90 15	90
231	90 15 61 90 16 40 87 15 90 15 15 90 84 15 90 15 90 90 15 15 90 15 90 15 90 15 90 15	90
232	15 61 61 61 61 61	61
233	61	90
234	61 69 69 30 90 15 61 15 13 61 90 15 69 61 90	15
235	40 40 61	61
236	61 61 40 61 61 61 40 40 87 40 90 61 61 69 23 15 90 15 90 90 15 90 15 15 90 15 90 15 90 15 90 15 90 15	90
237	61 61 61 61	90
238	87	90
