session_id	item_id_seq_test	item_id_test	interaction_time_delta_train	vehicle
0	61 61 61 61 90 15 90 15 90 40	15	0.0 156.383 0.067 18.467 17.8 7.483 7.4 28.733 5.633 30.067	25
1	4 69	69	0.0 53.383	31
2	14 90 61	15	0.0 1.883 8.117	25
3	61 61 6 69	69	0.0 0.1 0.0 15.25	31
4	90	15	0.0	13
5	69 69 61	61	0.0 0.067 15.167	13
6	69 69 23 61	61	0.0 0.317 0.117 26.783	31
7	69 16 40 69 40 16	61	0.0 0.1 0.033 0.3 19.05 0.0	31
8	90 15 90 15 90 15 90 15 90 15 90 90 15 90 15 15 90 6 15 90 15	61	0.0 9.75 1.833 25.517 22.467 4.017 2.667 2.267 4.617 1.017 2.433 24.6 8.5 4.733 4.95 25.367 2.65 23.733 4.55 5.683 15.333	25
9	16 16 40 40 61 61 4 4 69 69 4	4	0.0 0.0 0.05 0.0 8.883 0.0 0.267 0.0 16.817 0.0 1.067	23
10	16 16 40	40	0.0 0.0 0.0	23
11	61 40	14	0.0 2.0	25
12	90 15 90	15	0.0 8.95 10.867	25
13	61 4 61 61 61 6 61 61 4 61 61 61 61 4 61 61 4 61	61	0.0 3.083 1.233 0.017 13.033 0.0 0.017 62.217 22.783 0.183 0.0 20.033 0.0 2.7 0.283 0.0 5.783 1.717	31
14	61 16	40	0.0 55.667	13
15	15 90	15	0.0 2.683	25
16	6	61	0.0	13
17	16	40	0.0	25
18	17 69	61	0.0 4.983	31
19	90	15	0.0	25
20	61 61 61 69	69	0.0 0.0 11.867 20.117	23
21	69 69 69 69 40	40	0.0 0.0 2.167 0.0 8.583	5
22	61 40 15 69 40 40	40	0.0 1.317 1.65 5.4 84.65 44.317	31
23	90 15 90 15 90	15	0.0 29.583 36.533 4.1 1.533	25
24	37 15 37	15	0.0 1.833 6.4	5
25	90 15 90 15 90	15	0.0 7.8 2.75 8.95 8.35	25
26	40 40 16 16 16 16 40 40 40 40 16 16 40 40 40 40 69 69 23 23 16 16 69 69 23 23 69	69	0.0 0.0 18.983 0.0 7.65 0.0 0.583 0.0 0.483 0.0 1.017 0.0 4.817 0.0 0.75 0.0 2.267 0.0 0.217 0.0 5.233 0.0 40.85 0.0 0.0 0.0 6.417	31
27	90 15	90	0.0 65.933	25
28	61	40	0.0	31
29	90 15 61 61 95 6 61 95 69 90 69 69 73 6 61 61 15 90 90 15 40 15 40 90 15	40	0.0 20.633 18.767 13.533 6.65 1.9 0.1 0.05 0.317 0.1 0.117 0.117 1.267 0.167 0.0 0.033 1.033 1.4 17.967 1.95 37.7 2.15 0.383 13.717 16.183	25
30	94 94 94 94 17 17 17 17 17 17 17 17 16 16 40 40 17 17 17 17 69 69 4	4	0.0 0.0 0.0 0.0 0.65 0.0 1.667 0.0 0.933 0.0 1.7 0.0 0.55 0.0 0.0 0.0 0.633 0.0 1.217 0.0 1.533 0.0 38.1	31
31	73 40	40	0.0 1.2	13
32	61	59	0.0	13
33	40 40 16	16	0.0 0.0 0.0	31
34	61 61 4 4 16 16 40 40 16 16 40	40	0.0 0.0 0.267 0.0 143.8 0.0 0.6 0.0 20.367 0.0 0.017	23
35	90	15	0.0	25
36	40 61	61	0.0 1.0	23
37	6 61	61	0.0 0.033	13
38	61 69 16 40 6 61 69 23	69	0.0 24.65 1.133 0.017 1.033 0.05 5.833 0.067	31
39	61 6 61 61 59 6 61 61 79 73 73 61 61 6	61	0.0 18.217 0.05 0.0 4.55 13.633 0.117 0.033 0.233 100.25 0.0 2.817 0.0 0.083	13
40	61 61 61 61 61 61 61 16 61 61 61 61 61 61 61 61 61 61	61	0.0 0.0 19.533 16.15 5.733 13.133 6.583 0.7 12.233 4.183 13.733 14.217 0.0 2.467 7.033 2.033 0.0 2.767	5
41	90	15	0.0	25
42	16 40 90	15	0.0 0.0 11.217	23
43	90	15	0.0	25
44	6 61 61	4	0.0 0.0 0.017	31
45	61 69 69 30 90 15 61 15 13 61 90 15 69 61 90 15	61	0.0 1.9 0.267 0.067 3.7 9.583 22.017 6.967 8.0 43.3 19.967 2.717 18.933 75.283 29.55 23.033	25
46	61 61 61 69 69 69	69	0.0 105.6 0.0 1.35 0.0 20.35	5
47	90	15	0.0	25
48	90 15 90	15	0.0 8.967 3.55	25
49	90	15	0.0	25
50	69 70	69	0.0 7.867	5
51	61 61 40 61	61	0.0 0.0 8.8 22.317	13
52	61 40	69	0.0 5.367	5
53	90	15	0.0	25
54	90	15	0.0	25
55	61 61 40 40 69 69	61	0.0 17.483 1.0 0.133 39.75 1.083	23
56	90 37 90 90 15 90 15 90	15	0.0 2.117 1.1 16.067 6.75 21.833 18.7 17.333	25
57	61	4	0.0	31
58	90 15 90 15 90 69 40 15 90 61 15 90 15 16 40 90 15 61 90 15 61 61 90	15	0.0 19.85 2.983 15.917 9.467 15.067 5.733 2.233 5.967 5.15 12.617 26.9 10.1 16.9 0.05 25.867 18.367 13.5 7.75 1.483 38.333 0.0 42.617	25
59	90 16 40	15	0.0 14.5 0.083	25
60	61 6	61	0.0 0.067	13
61	4 4 61	61	0.0 62.05 0.383	31
62	69 69 69 69 61 61 69 69 69	69	0.0 0.0 0.0 0.0 5.033 0.0 40.683 0.0 0.0	23
63	61	59	0.0	13
64	90	15	0.0	25
65	61 40	61	0.0 4.25	25
66	87 90	15	0.0 0.117	25
67	61 59 6 61	61	0.0 41.1 9.533 0.0	13
68	61 61 40 61 61	6	0.0 0.0 5.133 83.7 21.517	13
69	6 61 61 61 61 61 61 61	61	0.0 0.0 0.05 44.783 86.683 0.0 33.9 15.833	13
70	61 61 61 40 90 90 15 90 15 90 15 90 90 90 90 15 90 15 90 15 90 15 61 40 33 90	15	0.0 8.083 24.367 12.783 0.35 22.483 1.367 3.75 18.217 21.65 9.15 3.883 1.467 3.033 3.217 3.333 1.533 4.75 18.317 19.917 3.2 11.45 71.583 0.633 24.217 75.283	25
71	90	15	0.0	25
72	61 61 16 16 40 40 61	61	0.0 0.0 23.183 0.0 0.0 0.0 12.717	23
73	61 61 6 59 61 6 61	61	0.0 50.967 0.0 2.2 5.617 11.567 0.033	13
74	6 61 59 30	73	0.0 0.117 7.383 36.717	13
75	90 40 15 90 61 15 90 51 15 90 15 90 15 90 71 71 61 61 90 15 90 15 15 15 40 40 15 40 90 15 61 61 90 61	15	0.0 15.75 5.983 20.5 0.283 22.817 1.383 11.65 0.083 7.683 1.05 3.167 3.433 3.433 6.917 2.983 0.0 0.25 1.4 2.95 4.417 7.717 4.217 5.583 0.683 0.2 11.983 12.667 27.5 18.0 3.967 0.0 121.2 0.2	25
76	16 40 69 61 61 61 61	69	0.0 0.0 1.017 26.567 82.233 56.5 0.0	23
77	90 15 61 61 40 69 16 16 16 16 16 14 16	16	0.0 28.917 31.117 0.017 1.033 11.15 2.383 0.25 0.0 0.0 0.0 13.75 24.517	25
78	90 16 16 40 40 15 90 69 23	15	0.0 6.017 0.0 0.0 0.0 15.25 4.133 3.1 0.033	25
79	90 15 90 16 16 40 40 15 90 90 15 90 40 40 15 90 16 16 40 40 40 40 40 40	15	0.0 22.967 54.717 10.2 0.0 0.117 0.083 0.5 11.4 5.45 11.45 33.217 0.117 0.05 12.183 4.483 2.85 0.0 0.0 0.0 0.717 0.017 0.467 0.017	25
80	69 69 40	40	0.0 0.0 0.717	5
81	16 40 16	40	0.0 0.65 6.267	25
82	40	16	0.0	13
83	61 61 6	61	0.0 0.0 0.0	31
84	90 16 16 40 40 73 73 15 61	61	0.0 0.133 0.017 0.0 0.017 4.767 0.0 3.267 45.217	25
85	16 40 4 61 61 16 40 61 61 61 61 16 40	4	0.0 0.017 0.233 0.1 0.05 0.55 0.183 1.917 76.067 0.017 22.467 12.567 0.05	31
86	51	24	0.0	5
87	90	15	0.0	25
88	33 40 16 13 6 61	61	0.0 0.167 0.0 0.983 9.183 0.017	31
89	61 16 40 16 40 78	33	0.0 0.75 0.0 24.667 0.0 16.317	31
90	90 15 90 16 40	15	0.0 7.6 18.983 0.3 0.0	25
91	90	15	0.0	25
92	90 61 15 90 40 15 90 37	15	0.0 56.85 1.55 3.567 10.067 19.517 39.583 32.083	25
93	90 15 90	15	0.0 5.117 20.217	25
94	16 40 69	23	0.0 0.017 13.933	31
95	90	15	0.0	23
96	69 69 4 24 33 24 33 6	61	0.0 3.95 2.383 1.35 1.117 0.583 0.333 4.833	31
97	61 61 40 16 40 61 61	61	0.0 0.0 8.867 0.15 0.017 91.35 4.35	5
98	69 61 61	69	0.0 2.6 24.333	5
99	61 40 40	61	0.0 0.4 7.017	13
100	40 59	15	0.0 15.917	13
101	61 61 59 40	40	0.0 18.667 1.917 67.483	13
102	37	15	0.0	25
103	90 15 90 15 90	15	0.0 26.6 20.45 3.95 80.95	23
