,Label,session,current_drive_mode
1358438,,5399.0,car/driveMode/0.0
1358439,,5399.0,car/driveMode/0.0
1358440,,5399.0,car/driveMode/0.0
1358441,,5399.0,car/driveMode/0.0
1358442,,5399.0,car/driveMode/0.0
1358443,,5399.0,car/driveMode/0.0
1358444,,5399.0,car/driveMode/0.0
1358445,,5399.0,car/driveMode/0.0
1358446,,5399.0,car/driveMode/0.0
1358447,,5399.0,car/driveMode/0.0
1358448,,5399.0,car/driveMode/0.0
1358449,,5399.0,car/driveMode/0.0
1358450,,5399.0,car/driveMode/0.0
1358451,,5399.0,car/driveMode/0.0
1358452,,5399.0,car/driveMode/0.0
1358453,,5399.0,car/driveMode/0.0
1358454,,5399.0,car/driveMode/0.0
1358455,,5399.0,car/driveMode/0.0
1358456,,5399.0,car/driveMode/0.0
1358457,,5399.0,car/driveMode/0.0
1358458,,5399.0,car/driveMode/0.0
1358459,,5399.0,car/driveMode/0.0
1358460,,5399.0,car/driveMode/0.0
1358461,,5399.0,car/driveMode/0.0
1358462,,5399.0,car/driveMode/0.0
1358463,,5399.0,car/driveMode/0.0
1358464,,5399.0,car/driveMode/0.0
1358465,,5399.0,car/driveMode/0.0
1358466,,5399.0,car/driveMode/0.0
1358467,,5399.0,car/driveMode/0.0
1358468,,5399.0,car/driveMode/0.0
1358469,,5399.0,car/driveMode/0.0
1358470,,5399.0,car/driveMode/0.0
1358471,,5399.0,car/driveMode/0.0
1358472,,5399.0,car/driveMode/0.0
1358473,,5399.0,car/driveMode/0.0
1358474,,5399.0,car/driveMode/0.0
1358475,,5399.0,car/driveMode/0.0
1358476,,5399.0,car/driveMode/0.0
1358477,,5399.0,car/driveMode/0.0
1358478,,5399.0,car/driveMode/0.0
1358479,,5399.0,car/driveMode/0.0
1358480,,5399.0,car/driveMode/0.0
1358481,,5399.0,car/driveMode/0.0
1358482,,5399.0,car/driveMode/0.0
1358483,,5399.0,car/driveMode/0.0
1358484,,5399.0,car/driveMode/0.0
1358485,,5399.0,car/driveMode/0.0
